#number,Coord_x,Coord_y,evacuation,reward
0,359903.766455,3704494.666716,0,1
1,360762.576176,3704163.931208,0,1
2,360667.787155,3704193.114405,0,1
3,360097.868819,3704028.598615,0,1
4,359503.233976,3703866.205408,0,1
5,359446.350784,3703835.291844,0,1
6,359382.719239,3703797.401018,0,1
7,359397.833700,3703806.962879,0,1
8,359422.870626,3703821.914529,0,1
9,359425.555756,3703832.677785,0,1
10,359942.011461,3704406.999731,0,1
11,360430.981570,3704558.668280,0,1
12,359604.585502,3704232.576441,0,1
13,359901.529171,3704494.538377,0,1
14,359781.751728,3704998.376593,0,1
15,359600.866744,3704806.930145,0,1
16,359691.542100,3705020.882232,0,1
17,359890.492415,3704699.155732,0,1
18,359708.364071,3704384.008354,0,1
19,359891.399435,3704685.445541,0,1
20,359620.612199,3705060.831215,0,1
21,359468.156158,3705201.185496,0,1
22,359564.146194,3704968.679271,0,1
23,359250.229752,3704060.097037,0,1
24,359241.954171,3703988.516139,0,1
25,359021.546332,3704112.976649,0,1
26,359270.132040,3704063.988057,0,1
27,359234.021950,3703902.878290,0,1
28,359362.572616,3703850.785783,0,1
29,358985.105410,3704061.848261,0,1
30,360048.491768,3704684.984995,0,1
31,359369.693585,3704194.084106,0,1
32,359581.626555,3704215.331638,0,1
33,358946.164785,3704120.843282,0,1
34,359377.798391,3704222.114286,0,1
35,359196.362404,3704273.503140,0,1
36,360068.657822,3704073.772946,0,1
37,359734.918677,3704162.617874,0,1
38,359563.219817,3704283.530075,0,1
39,359446.485559,3704476.499935,0,1
40,359441.762036,3704458.513022,0,1
41,359497.119329,3704444.231747,0,1
42,359464.110152,3704543.619442,0,1
43,360389.138814,3704592.246070,0,1
44,360272.151583,3704646.586616,0,1
45,359536.246596,3704590.170662,0,1
46,359432.147558,3704367.010376,0,1
47,359396.112912,3704286.129324,0,1
48,359389.304894,3704289.045547,0,1
49,359420.319245,3704376.875948,0,1
50,359338.441555,3704301.132487,0,1
51,359275.518036,3704312.907541,0,1
52,359325.262978,3704236.210880,0,1
53,359257.208368,3704320.671853,0,1
54,359286.725539,3704378.412372,0,1
55,359195.547663,3704360.377685,0,1
56,359532.414404,3704483.334049,0,1
57,359336.045725,3704497.085175,0,1
58,359542.879471,3704550.324974,0,1
59,359201.040028,3704555.272768,0,1
60,359467.266996,3704554.874924,0,1
61,360128.851198,3704690.585285,0,1
62,360083.434465,3704685.897930,0,1
63,360102.394650,3704889.714047,0,1
64,360150.163632,3704759.193976,0,1
65,360096.306263,3704892.885529,0,1
66,360141.163555,3704855.192369,0,1
67,359406.251538,3704985.873346,0,1
68,359401.222340,3703839.220786,0,1
69,359399.429958,3703847.631475,0,1
70,359351.846724,3704227.250336,0,1
71,359216.601283,3704398.633058,0,1
72,359380.407369,3704572.155138,0,1
73,360250.987454,3704767.892457,0,1
74,359465.703994,3705344.225202,0,1
75,359417.283383,3705216.122721,0,1
76,359330.462240,3705063.492924,0,1
77,359310.507258,3705050.108965,0,1
78,359074.859646,3705041.369982,0,1
79,359267.140480,3704955.848940,0,1
80,359664.911432,3704949.789782,0,1
81,359942.586738,3704413.335263,0,1
82,359050.953290,3705071.198389,0,1
83,358917.297269,3705086.904205,0,1
84,360136.171535,3704973.125551,0,1
