,0,1
0,411229004,"{'y': np.float64(3704163.931207579), 'x': np.float64(360762.57617553987), 'street_count': np.int64(3), 'lon': np.float64(133.5015962), 'lat': np.float64(33.4678947)}"
1,1557769531,"{'y': np.float64(3704193.114405141), 'x': np.float64(360667.78715542296), 'street_count': np.int64(3), 'lon': np.float64(133.5005719), 'lat': np.float64(33.4681455)}"
2,1557769477,"{'y': np.float64(3704028.5986145856), 'x': np.float64(360097.8688187301), 'street_count': np.int64(3), 'lon': np.float64(133.4944662), 'lat': np.float64(33.4665878)}"
3,411229010,"{'y': np.float64(3703866.205408443), 'x': np.float64(359503.2339755121), 'street_count': np.int64(3), 'lon': np.float64(133.4880945), 'lat': np.float64(33.4650457)}"
4,411229012,"{'y': np.float64(3703835.2918442427), 'x': np.float64(359446.3507843651), 'street_count': np.int64(3), 'highway': 'traffic_signals', 'lon': np.float64(133.4874874), 'lat': np.float64(33.4647595)}"
5,411229011,"{'y': np.float64(3703797.4010180235), 'x': np.float64(359382.7192390986), 'street_count': np.int64(1), 'lon': np.float64(133.4868088), 'lat': np.float64(33.4644095)}"
6,4930123136,"{'y': np.float64(3703806.9628785364), 'x': np.float64(359397.83370029926), 'street_count': np.int64(3), 'lon': np.float64(133.4869699), 'lat': np.float64(33.4644977)}"
7,4930119018,"{'y': np.float64(3703821.914528903), 'x': np.float64(359422.87062624074), 'street_count': np.int64(3), 'lon': np.float64(133.4872369), 'lat': np.float64(33.4646358)}"
8,4930119020,"{'y': np.float64(3703832.6777854576), 'x': np.float64(359425.5557561285), 'street_count': np.int64(4), 'lon': np.float64(133.4872641), 'lat': np.float64(33.4647332)}"
9,770247566,"{'y': np.float64(3704406.999731248), 'x': np.float64(359942.01146127493), 'street_count': np.int64(3), 'lon': np.float64(133.4927304), 'lat': np.float64(33.4699793)}"
10,1557769645,"{'y': np.float64(3704558.6682803673), 'x': np.float64(360430.98156986607), 'street_count': np.int64(3), 'lon': np.float64(133.4979674), 'lat': np.float64(33.4714107)}"
11,1557769535,"{'y': np.float64(3704232.576440866), 'x': np.float64(359604.5855023365), 'street_count': np.int64(3), 'lon': np.float64(133.4891275), 'lat': np.float64(33.4683624)}"
12,770247616,"{'y': np.float64(3704494.53837723), 'x': np.float64(359901.5291714673), 'street_count': np.int64(4), 'lon': np.float64(133.4922812), 'lat': np.float64(33.4707633)}"
13,770247584,"{'y': np.float64(3704998.376592549), 'x': np.float64(359781.7517277646), 'street_count': np.int64(4), 'lon': np.float64(133.4909138), 'lat': np.float64(33.4752905)}"
14,1575534718,"{'y': np.float64(3704806.9301450048), 'x': np.float64(359600.8667435198), 'street_count': np.int64(4), 'lon': np.float64(133.4889976), 'lat': np.float64(33.4735406)}"
15,10932913068,"{'y': np.float64(3705020.8822321584), 'x': np.float64(359691.542099677), 'street_count': np.int64(3), 'lon': np.float64(133.4899397), 'lat': np.float64(33.4754816)}"
16,770247803,"{'y': np.float64(3704699.1557317884), 'x': np.float64(359890.4924149109), 'street_count': np.int64(3), 'lon': np.float64(133.4921305), 'lat': np.float64(33.4726068)}"
17,11021394522,"{'y': np.float64(3704494.795054842), 'x': np.float64(359906.00373804936), 'street_count': np.int64(4), 'lon': np.float64(133.4923293), 'lat': np.float64(33.4707662)}"
18,1575534504,"{'y': np.float64(3704384.0083540133), 'x': np.float64(359708.364071321), 'street_count': np.int64(3), 'lon': np.float64(133.4902203), 'lat': np.float64(33.4697414)}"
19,1557769686,"{'y': np.float64(3704685.4455414526), 'x': np.float64(359891.3994353555), 'street_count': np.int64(4), 'lon': np.float64(133.4921424), 'lat': np.float64(33.4724833)}"
20,770247658,"{'y': np.float64(3705060.83121523), 'x': np.float64(359620.61219921533), 'street_count': np.int64(3), 'lon': np.float64(133.4891703), 'lat': np.float64(33.4758325)}"
21,10931858401,"{'y': np.float64(3705201.185495541), 'x': np.float64(359468.1561584325), 'street_count': np.int64(3), 'lon': np.float64(133.487508), 'lat': np.float64(33.477078)}"
22,1575534751,"{'y': np.float64(3704968.679270511), 'x': np.float64(359564.1461937779), 'street_count': np.int64(3), 'lon': np.float64(133.4885772), 'lat': np.float64(33.4749942)}"
23,770247716,"{'y': np.float64(3704060.097036782), 'x': np.float64(359250.22975216905), 'street_count': np.int64(3), 'lon': np.float64(133.4853423), 'lat': np.float64(33.4667607)}"
24,3955403557,"{'y': np.float64(3703988.5161392814), 'x': np.float64(359241.9541714578), 'street_count': np.int64(3), 'lon': np.float64(133.4852645), 'lat': np.float64(33.4661142)}"
25,1431444168,"{'y': np.float64(3704112.976648821), 'x': np.float64(359021.5463324009), 'street_count': np.int64(3), 'lon': np.float64(133.4828738), 'lat': np.float64(33.4672074)}"
26,1431444151,"{'y': np.float64(3704063.9880567896), 'x': np.float64(359270.13204005733), 'street_count': np.int64(3), 'lon': np.float64(133.4855558), 'lat': np.float64(33.4667984)}"
27,770247775,"{'y': np.float64(3703902.878290375), 'x': np.float64(359234.02194990113), 'street_count': np.int64(3), 'lon': np.float64(133.4851926), 'lat': np.float64(33.465341)}"
28,4930123130,"{'y': np.float64(3703850.785782635), 'x': np.float64(359362.5726158761), 'street_count': np.int64(3), 'lon': np.float64(133.4865837), 'lat': np.float64(33.4648882)}"
29,1431444149,"{'y': np.float64(3704061.8482614267), 'x': np.float64(358985.10541004944), 'street_count': np.int64(3), 'lon': np.float64(133.4824898), 'lat': np.float64(33.4667416)}"
30,1575534653,"{'y': np.float64(3704684.9849948687), 'x': np.float64(360048.4917678677), 'street_count': np.int64(3), 'lon': np.float64(133.4938326), 'lat': np.float64(33.4724997)}"
31,1431444173,"{'y': np.float64(3704194.0841055554), 'x': np.float64(359369.6935854979), 'street_count': np.int64(3), 'lon': np.float64(133.4866065), 'lat': np.float64(33.4679845)}"
32,1557769532,"{'y': np.float64(3704215.331638178), 'x': np.float64(359581.62655457616), 'street_count': np.int64(3), 'lon': np.float64(133.4888832), 'lat': np.float64(33.4682039)}"
33,1575494565,"{'y': np.float64(3704120.843282036), 'x': np.float64(358946.16478547006), 'street_count': np.int64(1), 'lon': np.float64(133.4820616), 'lat': np.float64(33.4672684)}"
34,4938274308,"{'y': np.float64(3704222.114285998), 'x': np.float64(359377.79839116306), 'street_count': np.int64(3), 'lon': np.float64(133.4866893), 'lat': np.float64(33.4682383)}"
35,1575534471,"{'y': np.float64(3704273.5031402875), 'x': np.float64(359196.3624035304), 'street_count': np.int64(1), 'lon': np.float64(133.4847293), 'lat': np.float64(33.4686778)}"
36,1557769480,"{'y': np.float64(3704073.7729462544), 'x': np.float64(360068.65782166645), 'street_count': np.int64(3), 'lon': np.float64(133.4941449), 'lat': np.float64(33.4669913)}"
37,1575534436,"{'y': np.float64(3704162.6178736095), 'x': np.float64(359734.9186771785), 'street_count': np.int64(3), 'lon': np.float64(133.4905406), 'lat': np.float64(33.4677487)}"
38,1575534473,"{'y': np.float64(3704283.5300748255), 'x': np.float64(359563.21981656086), 'street_count': np.int64(3), 'lon': np.float64(133.4886745), 'lat': np.float64(33.4688164)}"
