#number,Coord_x,Coord_y,evacuation,reward
0,364991.716015,3706883.782035,0,1
1,364842.457682,3707131.992769,0,1
2,364938.127027,3707465.861960,0,1
3,366136.683266,3706919.174190,0,1
4,367391.284185,3707311.561429,0,1
5,365527.213598,3706567.752666,0,1
6,367417.906964,3707208.315690,0,1
7,367421.254224,3707239.222825,0,1
8,364712.908948,3707640.317847,0,1
9,365067.703938,3707226.112625,0,1
10,365208.361563,3707380.365551,0,1
11,367610.121399,3707513.425973,0,1
12,367564.842522,3707568.124367,0,1
13,365453.519751,3707644.947677,0,1
14,365455.459218,3707644.105461,0,1
15,365444.886784,3707601.260857,0,1
16,364963.816466,3706936.575153,0,1
17,364946.052586,3706978.579556,0,1
18,364990.414956,3706885.763263,0,1
19,364822.128256,3707083.058192,0,1
20,367114.506614,3707190.566688,0,1
21,367107.398074,3707195.267160,0,1
22,367125.965101,3707183.266584,0,1
23,364866.125906,3707164.577584,0,1
24,364898.799009,3707090.467871,0,1
25,364828.882511,3707251.339208,0,1
26,364890.597582,3707210.082692,0,1
27,364844.115313,3707130.927029,0,1
28,364899.408113,3707253.311924,0,1
29,364920.718204,3707201.176461,0,1
30,364917.155644,3707356.770344,0,1
31,364916.454699,3707349.848614,0,1
32,364937.759364,3707463.826461,0,1
33,364841.721947,3707374.485402,0,1
34,364771.884000,3707384.381416,0,1
35,364655.222249,3707500.006488,0,1
36,364907.924346,3707308.700453,0,1
37,365486.221637,3707238.053995,0,1
38,365549.341289,3707220.704320,0,1
39,365425.681348,3707268.432645,0,1
40,365583.049722,3707154.523469,0,1
41,365308.639107,3707318.210623,0,1
42,365306.563666,3707335.928900,0,1
43,365236.071382,3707320.988022,0,1
44,365314.913700,3707277.154817,0,1
45,365305.532202,3707341.909977,0,1
46,365272.516468,3707363.720403,0,1
47,366052.702775,3706901.614197,0,1
48,366134.982150,3706918.793005,0,1
49,366087.090550,3706766.920450,0,1
50,366030.670658,3706898.249332,0,1
51,366019.972242,3706927.454856,0,1
52,366549.839809,3706991.917708,0,1
53,366540.950040,3706993.460310,0,1
54,366560.423054,3706987.856341,0,1
55,366560.698640,3706914.434161,0,1
56,366517.425988,3706990.358988,0,1
57,366560.338324,3706999.191890,0,1
58,366624.912120,3706913.423803,0,1
59,366621.936165,3706919.963930,0,1
60,366463.849530,3706864.337597,0,1
61,366936.942813,3707011.743359,0,1
62,365303.340980,3707493.669191,0,1
63,365302.748209,3707543.684371,0,1
64,365311.141168,3707413.509266,0,1
65,365168.428796,3707529.769091,0,1
