0,-9999
1,-9999
2,-9999
3,-9999
4,-9999
5,-9999
6,-9999
7,-9999
8,-9999
9,-9999
10,-9999
11,-9999
12,-9999
13,-9999
14,-9999
15,-9999
16,17
17,60
18,16
19,22
20,19
21,31
22,23
23,68
24,25
25,21
26,90
27,30
28,72
29,20
30,20
31,71
32,35
33,281
34,79
35,69
36,38
37,293
38,44
39,36
40,36
41,194
42,41
43,41
44,181
45,38
46,48
47,49
48,178
49,192
50,206
51,122
52,54
53,275
54,122
55,56
56,219
57,55
58,55
59,40
60,64
61,66
62,17
63,64
64,67
65,23
66,63
67,67
68,67
69,69
70,69
71,68
72,71
73,74
74,78
75,85
76,81
77,87
78,81
79,80
80,98
81,84
82,78
83,89
84,95
85,88
86,85
87,99
88,88
89,116
90,82
91,107
92,93
93,88
94,92
95,92
96,97
97,86
98,96
99,108
100,111
101,25
102,88
103,105
104,103
105,90
106,103
107,102
108,107
109,99
110,114
111,112
112,114
113,111
114,115
115,116
116,116
117,115
118,109
119,135
120,116
121,116
122,123
123,120
124,125
125,123
126,124
127,27
128,130
129,144
130,146
131,127
132,135
133,125
134,132
135,121
136,118
137,141
138,136
139,127
140,133
141,119
142,127
143,126
144,131
145,138
146,104
147,146
148,145
149,142
150,140
151,135
152,151
153,134
154,167
155,142
156,143
157,137
158,159
159,147
160,158
161,130
162,148
163,148
164,162
165,129
166,152
167,157
168,149
169,149
170,159
171,207
172,160
173,166
174,154
175,150
176,183
177,153
178,163
179,168
180,168
181,164
182,176
183,156
184,167
185,181
186,174
187,184
188,173
189,177
190,175
191,187
192,186
193,155
194,297
195,182
196,184
197,180
198,179
199,193
200,193
201,44
202,199
203,221
204,43
205,59
206,191
207,209
208,188
209,204
210,209
211,45
212,189
213,205
214,196
215,190
216,211
217,45
218,202
219,216
220,232
221,218
222,203
223,216
224,226
225,229
226,200
227,221
228,208
229,214
230,213
231,230
232,215
233,210
234,233
235,234
236,234
237,225
238,224
239,220
240,232
241,228
242,240
243,241
244,56
245,227
246,245
247,245
248,231
249,246
250,246
251,243
252,242
253,251
254,243
255,238
256,58
257,263
258,256
259,57
260,235
261,269
262,235
263,256
264,272
265,252
266,253
267,254
268,244
269,257
270,265
271,269
272,261
273,161
274,105
275,120
276,83
277,75
278,292
279,33
280,279
281,35
282,62
283,62
284,282
285,284
286,284
287,283
288,283
289,282
290,285
291,285
292,277
293,170
294,293
295,170
296,194
297,39
298,183
299,298
300,156
301,300
302,255
303,37
304,39
305,115
306,86
307,95
308,66
