,0,1
0,262314447,"{'y': np.float64(3706413.570527531), 'x': np.float64(365189.7871474694), 'highway': 'traffic_signals', 'street_count': np.int64(3), 'lon': np.float64(133.5488879), 'lat': np.float64(33.4887459)}"
1,1085591315,"{'y': np.float64(3706426.1501884633), 'x': np.float64(365184.80552319204), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.5488324), 'lat': np.float64(33.4888587)}"
2,10179267605,"{'y': np.float64(3706240.0868118023), 'x': np.float64(364715.0222845731), 'street_count': np.int64(3), 'lon': np.float64(133.5438051), 'lat': np.float64(33.4871217)}"
3,411228988,"{'y': np.float64(3706066.4874178246), 'x': np.float64(364280.8205571843), 'highway': 'traffic_signals', 'street_count': np.int64(3), 'lon': np.float64(133.539159), 'lat': np.float64(33.4855014)}"
4,5487611919,"{'y': np.float64(3706082.778827352), 'x': np.float64(364273.7639894823), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.5390806), 'lat': np.float64(33.4856474)}"
5,10179267612,"{'y': np.float64(3706085.296958551), 'x': np.float64(364328.1175719253), 'street_count': np.int64(3), 'lon': np.float64(133.5396651), 'lat': np.float64(33.485677)}"
6,1431444606,"{'y': np.float64(3705988.9851024817), 'x': np.float64(364075.3819997447), 'street_count': np.int64(3), 'lon': np.float64(133.5369601), 'lat': np.float64(33.4847765)}"
7,564442848,"{'y': np.float64(3706876.9345570453), 'x': np.float64(364345.60922795295), 'street_count': np.int64(3), 'lon': np.float64(133.5397335), 'lat': np.float64(33.4928172)}"
8,1557771570,"{'y': np.float64(3706890.2735039964), 'x': np.float64(364341.87551282253), 'street_count': np.int64(3), 'lon': np.float64(133.5396913), 'lat': np.float64(33.492937)}"
9,564442850,"{'y': np.float64(3706875.1666779392), 'x': np.float64(364390.0853393152), 'street_count': np.int64(3), 'lon': np.float64(133.5402124), 'lat': np.float64(33.4928069)}"
10,564465067,"{'y': np.float64(3706867.614369023), 'x': np.float64(364312.7969507837), 'street_count': np.int64(4), 'lon': np.float64(133.5393818), 'lat': np.float64(33.492729)}"
11,4934700712,"{'y': np.float64(3706843.8658570526), 'x': np.float64(364387.9632491207), 'street_count': np.int64(3), 'lon': np.float64(133.5401943), 'lat': np.float64(33.4925244)}"
12,564442852,"{'y': np.float64(3706867.1437864914), 'x': np.float64(364458.2433159284), 'street_count': np.int64(4), 'lon': np.float64(133.5409471), 'lat': np.float64(33.4927432)}"
13,1557771615,"{'y': np.float64(3706910.8667732356), 'x': np.float64(364461.0973148112), 'street_count': np.int64(4), 'lon': np.float64(133.5409712), 'lat': np.float64(33.4931378)}"
14,1557771528,"{'y': np.float64(3706871.1509335185), 'x': np.float64(364520.3445220722), 'street_count': np.int64(3), 'lon': np.float64(133.5416148), 'lat': np.float64(33.4927872)}"
15,1557771398,"{'y': np.float64(3706814.244297254), 'x': np.float64(364461.2446176986), 'street_count': np.int64(3), 'lon': np.float64(133.5409874), 'lat': np.float64(33.4922666)}"
