#number,Coord_x,Coord_y,evacuation,reward
0,364075.212782,3705991.155680,0,1
1,364381.376912,3706671.212870,0,1
2,364414.574319,3706699.293020,0,1
3,364379.527785,3706671.549407,0,1
4,364033.250086,3705969.122443,0,1
5,364199.352896,3706226.255876,0,1
6,364253.636013,3706533.153300,0,1
7,364215.785168,3706477.911991,0,1
8,364231.225458,3706656.168552,0,1
9,364415.278854,3706702.477178,0,1
10,364354.500861,3706745.059870,0,1
11,364960.522633,3706463.102686,0,1
12,364681.072669,3706459.805127,0,1
13,364446.337812,3706454.794668,0,1
14,364326.208179,3706614.479058,0,1
15,364522.969285,3706723.294434,0,1
16,364724.784439,3706784.009860,0,1
17,364068.032353,3706937.199787,0,1
18,364046.434593,3707311.027530,0,1
19,364376.581604,3706680.768227,0,1
20,365189.787147,3706413.570528,0,1
21,365184.805523,3706426.150188,0,1
22,364715.022285,3706240.086812,0,1
23,364280.820557,3706066.487418,0,1
24,364273.763989,3706082.778827,0,1
25,364328.117572,3706085.296959,0,1
26,364075.382000,3705988.985102,0,1
27,364345.609228,3706876.934557,0,1
28,364341.875513,3706890.273504,0,1
29,364390.085339,3706875.166678,0,1
30,364312.796951,3706867.614369,0,1
31,364387.963249,3706843.865857,0,1
32,364458.243316,3706867.143786,0,1
33,364461.097315,3706910.866773,0,1
34,364520.344522,3706871.150934,0,1
35,364461.244618,3706814.244297,0,1
36,364625.399590,3706884.769722,0,1
37,364648.082273,3706899.345845,0,1
38,364527.222030,3706799.797898,0,1
39,364587.485358,3706882.008175,0,1
40,364587.801444,3706189.070279,0,1
41,364584.760436,3706201.489946,0,1
42,364523.334980,3706163.192021,0,1
43,364560.313003,3706291.000667,0,1
44,364543.928605,3706333.274776,0,1
45,364576.878554,3706229.848056,0,1
46,364520.290469,3706273.274550,0,1
47,364595.724675,3706302.004300,0,1
48,364505.720122,3706432.760774,0,1
49,364520.862917,3706392.755388,0,1
50,364575.357098,3706462.337005,0,1
51,364489.464326,3706473.569255,0,1
52,364447.439680,3706544.761880,0,1
53,364436.857687,3706562.777402,0,1
54,364406.828438,3706522.120361,0,1
55,364404.111408,3706607.788269,0,1
56,364375.827235,3706592.104765,0,1
57,364445.479724,3706629.443159,0,1
58,364381.858617,3706669.453797,0,1
59,364413.471379,3706697.844582,0,1
60,364349.758073,3706638.108806,0,1
61,364299.436338,3706901.417693,0,1
62,364323.003238,3706841.430262,0,1
63,364259.794535,3706856.471271,0,1
64,364265.759896,3706099.094667,0,1
65,364274.130980,3706100.274462,0,1
66,364209.424511,3706209.284247,0,1
67,364141.903891,3706042.513408,0,1
68,363775.599863,3707138.200116,0,1
69,363785.898807,3707140.405815,0,1
70,363880.249982,3706745.370734,0,1
71,365175.906835,3706447.024815,0,1
72,364713.458208,3706246.507952,0,1
73,364034.527087,3705967.745857,0,1
74,364082.705555,3706012.105420,0,1
75,364262.962282,3706078.594441,0,1
76,364201.274709,3706227.775943,0,1
77,364221.033636,3706229.904412,0,1
78,364244.467454,3706252.798062,0,1
79,364209.440404,3706234.836533,0,1
80,364328.865612,3706322.146083,0,1
81,364197.321382,3706407.686263,0,1
82,364347.968526,3706338.435500,0,1
83,364362.446810,3706350.331608,0,1
84,364321.025079,3706399.623671,0,1
85,364392.807653,3706382.799089,0,1
86,364403.439295,3706354.424313,0,1
87,364428.931446,3706416.705045,0,1
88,364453.955582,3706441.739457,0,1
89,364450.281036,3706365.421990,0,1
90,364197.006442,3706441.416918,0,1
91,364114.154261,3706421.778093,0,1
92,364203.019512,3706453.343267,0,1
93,364125.479203,3706461.145109,0,1
94,364472.419119,3706459.513123,0,1
95,364544.976347,3706509.110785,0,1
96,364527.593288,3706537.147705,0,1
97,364255.279163,3706533.035903,0,1
98,364278.983928,3706561.371231,0,1
99,364217.964351,3706477.254697,0,1
100,364589.156975,3706537.802523,0,1
101,364552.232708,3706513.655787,0,1
102,364614.698409,3706546.782130,0,1
103,364557.724853,3706588.439437,0,1
104,364607.040924,3706498.435308,0,1
105,364716.121812,3706598.049759,0,1
106,364731.201223,3706603.838191,0,1
107,364664.533118,3706583.745959,0,1
108,364672.887468,3706566.549388,0,1
109,364807.263827,3706629.898933,0,1
110,364773.563031,3706617.539739,0,1
111,364793.885308,3706677.154464,0,1
112,364885.588243,3706648.298324,0,1
113,364062.148066,3706639.075385,0,1
114,364162.713055,3706689.927957,0,1
115,363967.108996,3706741.572115,0,1
116,364074.923715,3706615.882499,0,1
117,364999.777741,3706675.068584,0,1
118,364911.466534,3706578.542736,0,1
119,364839.526892,3706714.721363,0,1
120,365086.607241,3706649.199395,0,1
121,365108.438194,3706600.240177,0,1
122,365069.890733,3706693.085319,0,1
123,364167.798701,3706651.849152,0,1
124,364212.770891,3706706.357836,0,1
125,364111.356663,3706776.558582,0,1
126,365035.705675,3706684.591491,0,1
127,365062.373923,3706691.149847,0,1
128,364996.344578,3706748.446803,0,1
129,364215.353473,3706700.365871,0,1
130,364230.474074,3706658.241964,0,1
131,364243.488385,3706708.088023,0,1
132,364444.026855,3706723.089533,0,1
133,365067.706942,3706703.707264,0,1
134,364206.010160,3706724.475106,0,1
135,365075.629461,3706706.746110,0,1
136,364181.438583,3706765.223858,0,1
137,364261.889813,3706744.560753,0,1
138,364162.461199,3706796.733120,0,1
139,364248.594791,3706787.645973,0,1
140,364481.133554,3706752.978151,0,1
141,364423.025504,3706813.617042,0,1
142,364004.230103,3706746.017112,0,1
143,363887.916960,3706750.685785,0,1
144,363928.454380,3706856.970915,0,1
145,364011.516788,3706802.786538,0,1
146,364085.610893,3706819.009909,0,1
147,364272.596759,3706713.012838,0,1
148,364287.081638,3706758.424228,0,1
149,364489.503531,3706760.734784,0,1
150,364466.629925,3706806.006003,0,1
151,364344.470019,3706780.097228,0,1
152,364339.475512,3706796.293076,0,1
153,364356.468000,3706745.847352,0,1
154,364533.950705,3706793.914138,0,1
155,364522.980359,3706819.332391,0,1
156,364888.730246,3706881.841830,0,1
157,364854.798952,3706915.954717,0,1
158,364925.670069,3706840.921746,0,1
159,364824.778529,3706836.612778,0,1
160,364252.356333,3706891.810519,0,1
161,364288.723607,3706915.376132,0,1
162,364266.501590,3706932.247025,0,1
163,364328.872460,3706938.267601,0,1
164,364839.922369,3706943.822871,0,1
165,364826.417301,3706881.927677,0,1
166,364260.271754,3706933.942841,0,1
167,364283.254411,3706957.253225,0,1
168,364237.373786,3706961.536754,0,1
169,364245.698123,3706927.105524,0,1
170,364792.220156,3707031.596242,1,1000
171,364776.184910,3706890.007111,0,1
172,364219.203027,3707015.337586,0,1
173,364177.706779,3706947.582243,0,1
174,364216.959675,3707025.616808,0,1
175,364210.621495,3707067.783467,0,1
176,364274.703579,3707027.753943,0,1
177,364761.452679,3706997.724841,0,1
178,364323.498994,3707076.774903,0,1
179,364193.610378,3707095.693870,0,1
180,364139.362284,3707205.122960,0,1
