#number,Node1,Node2,Length,Width
318,156,163,45,3
319,157,297,41,3
320,158,160,10,3
321,158,159,85,3
322,159,302,14,3
323,160,161,42,3
324,160,162,57,3
325,161,164,113,3
326,161,165,32,3
327,162,323,62,3
328,162,324,35,3
329,163,300,45,3
330,163,314,96,3
331,164,322,48,3
332,164,165,144,3
333,165,166,123,3
334,166,333,11,3
335,166,334,67,3
336,167,422,114,3
337,167,272,401,3
338,168,342,218,3
339,169,170,16,3
340,169,171,142,3
341,170,331,97,3
342,170,332,230,3
343,171,342,11,3
344,171,343,90,3
345,172,173,12,3
346,172,174,161,3
347,172,175,156,3
348,173,372,46,3
349,173,373,60,3
350,174,369,45,3
351,174,420,248,3
352,175,374,38,3
353,176,177,15,3
354,176,178,26,3
355,176,179,101,3
356,177,424,10,3
357,177,436,9,3
358,178,184,211,3
359,178,425,41,3
360,179,182,27,3
361,179,187,88,3
362,180,181,57,3
363,180,182,37,3
364,180,183,53,3
365,181,186,49,3
366,181,187,40,3
367,182,187,58,3
368,183,184,36,3
369,185,190,16,3
370,185,194,44,3
371,189,195,14,3
372,189,196,68,3
373,190,413,44,3
374,190,195,45,3
375,191,192,20,3
376,191,193,157,3
377,191,194,81,3
378,192,198,52,3
379,192,199,66,3
380,193,203,70,3
381,193,433,38,3
382,194,413,18,3
383,195,197,53,3
384,196,220,64,3
385,197,198,62,3
386,197,199,50,3
387,198,200,237,3
388,198,201,48,3
389,199,413,11,3
390,200,205,4,3
391,200,235,84,3
392,201,209,62,3
393,201,210,29,3
394,202,206,6,3
395,202,208,38,3
396,203,204,52,3
397,203,205,79,3
398,204,225,74,3
399,205,225,60,3
400,206,207,60,3
401,207,229,66,3
402,207,221,67,3
403,208,217,39,3
404,208,218,74,3
405,209,211,67,3
406,209,212,25,3
407,209,213,37,3
408,210,411,36,3
409,210,212,64,3
410,211,233,42,3
411,211,234,34,3
412,212,219,2,3
413,213,234,67,3
414,214,215,18,3
415,214,216,95,3
416,215,219,95,3
417,215,220,22,3
418,216,230,21,3
419,216,219,20,3
420,217,409,3,3
421,218,231,70,3
422,221,222,74,3
423,221,223,115,3
424,222,412,11,3
425,222,223,111,3
426,224,225,130,3
427,225,228,93,3
428,227,230,26,3
429,227,410,21,3
430,228,251,57,3
431,228,235,67,3
432,229,231,31,3
433,230,232,62,3
434,232,248,104,3
435,233,235,123,3
436,233,236,34,3
437,234,238,8,3
438,236,238,33,3
439,236,255,87,3
440,237,385,41,3
441,238,246,32,3
442,239,240,54,3
443,239,241,24,3
444,240,428,24,3
445,240,427,18,3
446,241,428,56,3
447,241,242,27,3
448,242,243,26,3
449,242,244,73,3
450,242,245,58,3
451,243,406,23,3
452,243,253,80,3
453,244,252,74,3
454,245,428,29,3
455,246,247,41,3
456,247,255,112,3
457,248,262,16,3
458,248,258,40,3
459,249,408,2,3
460,250,253,27,3
461,250,408,71,3
462,252,407,21,3
463,252,406,14,3
464,253,254,28,3
465,254,405,9,3
466,254,400,30,3
467,256,259,43,3
468,257,258,51,3
469,257,259,64,3
470,258,260,46,3
471,258,261,99,3
472,259,375,37,3
473,260,273,84,3
474,260,274,86,3
475,261,274,36,3
476,261,270,53,3
477,262,263,25,3
478,262,264,41,3
479,263,386,53,3
480,264,269,66,3
481,264,386,22,3
482,265,405,36,3
483,265,404,29,3
484,266,400,50,3
485,266,401,28,3
486,267,432,60,3
487,268,418,24,3
488,268,418,33,3
489,269,270,3,3
490,269,271,41,3
491,271,382,38,3
492,271,380,63,3
493,273,282,42,3
494,273,284,33,3
495,273,274,99,3
496,274,285,113,3
497,275,276,33,3
498,275,277,24,3
499,276,278,26,3
500,276,280,43,3
501,277,283,24,3
502,278,279,38,3
503,278,280,32,3
504,278,281,26,3
505,279,375,53,3
506,280,282,3,3
507,280,283,58,3
508,281,375,49,3
509,281,282,42,3
510,282,293,59,3
511,283,292,42,3
512,284,293,37,3
513,284,285,54,3
514,285,294,67,3
515,286,287,23,3
516,288,290,49,3
517,288,291,75,3
518,289,306,3,3
