#number,Node1,Node2,Length,Width
0,20,21,13.0,3
1,20,22,504.0,3
2,21,71,22.0,3
3,21,72,505.0,3
4,22,72,6.0,3
5,22,40,136.0,3
6,23,24,17.0,3
7,23,25,50.0,3
8,23,26,219.0,3
9,24,64,18.0,3
10,24,427,12.0,3
11,24,75,11.0,3
12,25,42,209.0,3
13,25,192,6.0,3
14,26,73,46.0,3
15,27,28,13.0,3
16,27,29,44.0,3
17,27,30,34.0,3
18,28,307,65.0,3
19,28,163,50.0,3
20,29,31,31.0,3
21,29,32,68.0,3
22,30,61,36.0,3
23,30,62,28.0,3
24,30,63,54.0,3
25,31,296,37.0,3
26,31,295,72.0,3
27,32,33,43.0,3
28,32,34,62.0,3
29,32,35,53.0,3
30,33,313,79.0,3
31,33,307,61.0,3
32,33,314,28.0,3
33,34,155,52.0,3
34,34,305,27.0,3
35,35,150,9.0,3
36,35,141,38.0,3
37,36,37,26.0,3
38,36,38,129.0,3
39,36,39,37.0,3
40,37,308,48.0,3
41,37,294,46.0,3
42,37,309,105.0,3
43,38,154,8.0,3
44,38,149,54.0,3
45,38,155,20.0,3
46,39,325,65.0,3
47,39,305,40.0,3
48,40,41,12.0,3
49,40,42,69.0,3
50,41,45,29.0,3
51,41,72,138.0,3
52,41,198,72.0,3
53,42,198,7.0,3
54,43,44,45.0,3
55,43,45,63.0,3
56,43,46,43.0,3
57,43,47,37.0,3
58,44,49,63.0,3
59,44,210,54.0,3
60,45,197,68.0,3
61,45,199,92.0,3
62,46,200,33.0,3
63,46,202,111.0,3
64,47,203,37.0,3
65,47,204,91.0,3
66,48,49,42.0,3
67,48,50,75.0,3
68,48,51,44.0,3
69,49,232,54.0,3
70,49,202,44.0,3
71,50,238,21.0,3
72,50,239,68.0,3
73,50,227,22.0,3
74,51,94,22.0,3
75,51,95,65.0,3
76,51,52,82.0,3
77,51,96,75.0,3
78,52,53,20.0,3
79,52,54,46.0,3
80,53,55,55.0,3
81,53,392,55.0,3
82,54,230,77.0,3
83,54,231,39.0,3
84,55,56,32.0,3
