,0,1
34,262317515,"{'y': np.float64(3709510.2004070347), 'x': np.float64(367556.4908931157), 'highway': 'traffic_signals', 'street_count': np.int64(3), 'lon': np.float64(133.5738985), 'lat': np.float64(33.5169634)}"
35,1556711526,"{'y': np.float64(3709430.9039675784), 'x': np.float64(367537.1465908934), 'street_count': np.int64(3), 'lon': np.float64(133.573702), 'lat': np.float64(33.516246)}"
36,4211508769,"{'y': np.float64(3709511.205409432), 'x': np.float64(367525.3380603149), 'street_count': np.int64(3), 'lon': np.float64(133.573563), 'lat': np.float64(33.5169686)}"
37,1556711625,"{'y': np.float64(3709564.798284345), 'x': np.float64(367565.3698092388), 'street_count': np.int64(3), 'lon': np.float64(133.573986), 'lat': np.float64(33.5174568)}"
38,262317520,"{'y': np.float64(3710801.846778304), 'x': np.float64(366951.1569366738), 'highway': 'traffic_signals', 'street_count': np.int64(3), 'lon': np.float64(133.5671902), 'lat': np.float64(33.5285347)}"
39,1556713372,"{'y': np.float64(3710670.7434491976), 'x': np.float64(366969.86403714493), 'street_count': np.int64(3), 'lon': np.float64(133.5674111), 'lat': np.float64(33.5273549)}"
40,1556713719,"{'y': np.float64(3710871.1848816746), 'x': np.float64(366921.40766007046), 'street_count': np.int64(3), 'lon': np.float64(133.5668596), 'lat': np.float64(33.5291562)}"
41,1556713544,"{'y': np.float64(3710760.845487486), 'x': np.float64(367090.10281489894), 'street_count': np.int64(3), 'lon': np.float64(133.5686922), 'lat': np.float64(33.5281823)}"
42,262329963,"{'y': np.float64(3708799.57655623), 'x': np.float64(367704.03542793746), 'highway': 'traffic_signals', 'street_count': np.int64(3), 'lon': np.float64(133.5755918), 'lat': np.float64(33.5105741)}"
43,769147664,"{'y': np.float64(3708792.319179291), 'x': np.float64(367692.2300252331), 'street_count': np.int64(4), 'lon': np.float64(133.5754658), 'lat': np.float64(33.5105072)}"
44,1085590177,"{'y': np.float64(3708812.3858495303), 'x': np.float64(367697.57801937003), 'street_count': np.int64(4), 'lon': np.float64(133.5755204), 'lat': np.float64(33.5106888)}"
45,1085589078,"{'y': np.float64(3708806.112831684), 'x': np.float64(367715.05053018266), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.5757094), 'lat': np.float64(33.5106344)}"
46,279939067,"{'y': np.float64(3711254.0921177645), 'x': np.float64(371024.98269364715), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.6109848), 'lat': np.float64(33.5331123)}"
47,279939068,"{'y': np.float64(3711253.852921054), 'x': np.float64(371042.01319977985), 'highway': 'traffic_signals', 'street_count': np.int64(3), 'lon': np.float64(133.6111682), 'lat': np.float64(33.5331122)}"
48,1924071181,"{'y': np.float64(3711262.460363865), 'x': np.float64(371024.5189461657), 'street_count': np.int64(3), 'lon': np.float64(133.6109786), 'lat': np.float64(33.5331877)}"
49,1924071144,"{'y': np.float64(3711245.8125777445), 'x': np.float64(371025.44763054955), 'street_count': np.int64(3), 'lon': np.float64(133.610991), 'lat': np.float64(33.5330377)}"
50,807636815,"{'y': np.float64(3711225.097920428), 'x': np.float64(370959.91431008425), 'street_count': np.int64(3), 'lon': np.float64(133.6102884), 'lat': np.float64(33.532843)}"
51,1924071188,"{'y': np.float64(3711269.5522733256), 'x': np.float64(371043.17081090156), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.6111784), 'lat': np.float64(33.5332539)}"
52,1924071152,"{'y': np.float64(3711252.258999458), 'x': np.float64(371059.1741672469), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.6113532), 'lat': np.float64(33.5330999)}"
53,280046980,"{'y': np.float64(3711475.464057334), 'x': np.float64(371061.42954240827), 'highway': 'traffic_signals', 'street_count': np.int64(4), 'lon': np.float64(133.6113453), 'lat': np.float64(33.5351128)}"
54,1038120175,"{'y': np.float64(3711480.589433024), 'x': np.float64(371016.5930302155), 'street_count': np.int64(4), 'lon': np.float64(133.6108618), 'lat': np.float64(33.5351536)}"
55,10586149273,"{'y': np.float64(3711473.9484515227), 'x': np.float64(371071.0868446048), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.6114495), 'lat': np.float64(33.5351003)}"
56,293676333,"{'y': np.float64(3711333.1699464275), 'x': np.float64(370119.59161157423), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.6012251), 'lat': np.float64(33.5337156)}"
57,769147519,"{'y': np.float64(3711107.4777843715), 'x': np.float64(370263.11073514837), 'street_count': np.int64(4), 'lon': np.float64(133.6028031), 'lat': np.float64(33.531698)}"
58,1556713965,"{'y': np.float64(3711206.404796931), 'x': np.float64(369916.9114005673), 'street_count': np.int64(4), 'lon': np.float64(133.5990613), 'lat': np.float64(33.5325479)}"
59,293676401,"{'y': np.float64(3710293.592112147), 'x': np.float64(370131.7922586177), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.6015074), 'lat': np.float64(33.5243433)}"
