,0,1
0,411228999,"{'y': np.float64(3704469.6772298757), 'x': np.float64(361137.5352673688), 'street_count': np.int64(3), 'lon': np.float64(133.5055828), 'lat': np.float64(33.4707002)}"
1,1557769647,"{'y': np.float64(3704544.174160561), 'x': np.float64(361226.8980967407), 'street_count': np.int64(4), 'lon': np.float64(133.5065327), 'lat': np.float64(33.4713835)}"
2,1272063300,"{'y': np.float64(3704353.2607932077), 'x': np.float64(360953.28878101194), 'street_count': np.int64(3), 'lon': np.float64(133.5036186), 'lat': np.float64(33.4696266)}"
3,769146641,"{'y': np.float64(3705891.9928166885), 'x': np.float64(361953.8285972591), 'street_count': np.int64(3), 'lon': np.float64(133.5141461), 'lat': np.float64(33.4836303)}"
4,769146839,"{'y': np.float64(3705912.002207667), 'x': np.float64(361948.26939221367), 'street_count': np.int64(3), 'lon': np.float64(133.5140832), 'lat': np.float64(33.48381)}"
5,769146927,"{'y': np.float64(3705689.9975109454), 'x': np.float64(362117.6003285439), 'street_count': np.int64(4), 'lon': np.float64(133.5159394), 'lat': np.float64(33.4818301)}"
6,769146694,"{'y': np.float64(3705645.160186943), 'x': np.float64(361990.2591359668), 'street_count': np.int64(3), 'lon': np.float64(133.5145761), 'lat': np.float64(33.4814094)}"
7,1557769878,"{'y': np.float64(3705286.2096731802), 'x': np.float64(361932.334457166), 'street_count': np.int64(3), 'lon': np.float64(133.5140081), 'lat': np.float64(33.4781654)}"
8,769146785,"{'y': np.float64(3705861.8015986397), 'x': np.float64(362286.11098195973), 'street_count': np.int64(4), 'lon': np.float64(133.5177262), 'lat': np.float64(33.4834009)}"
9,1557770078,"{'y': np.float64(3705792.623108604), 'x': np.float64(362206.5654608218), 'street_count': np.int64(4), 'lon': np.float64(133.5168809), 'lat': np.float64(33.4827669)}"
10,7077380949,"{'y': np.float64(3705917.6302860375), 'x': np.float64(362426.1134096598), 'street_count': np.int64(3), 'lon': np.float64(133.5192241), 'lat': np.float64(33.4839223)}"
