#number,Node1,Node2,Length,Width
0,0,1,14,3
1,0,2,11,3
2,0,3,8,3
3,0,784,553,3
4,1,116,16,3
5,1,114,11,3
6,1,150,12,3
7,2,111,6,3
8,2,112,439,3
9,2,114,14,3
10,3,789,7,3
11,3,790,404,3
12,4,5,13,3
13,4,6,9,3
14,4,7,46,3
15,5,139,6,3
16,5,140,7,3
17,5,133,255,3
18,6,405,7,3
19,6,406,7,3
20,6,123,399,3
21,7,85,12,3
22,7,212,12,3
23,8,9,201,3
24,8,10,66,3
25,8,11,243,3
26,9,79,561,3
27,9,508,108,3
28,9,505,39,3
29,10,512,277,3
30,10,513,42,3
31,11,264,34,3
32,11,249,182,3
33,12,13,16,3
34,12,14,5,3
35,12,15,6,3
36,12,16,60,3
37,13,286,5,3
38,13,265,39,3
39,14,1003,59,3
40,14,286,15,3
41,15,401,53,3
42,16,1003,3,3
43,17,18,3,3
44,17,19,25,3
45,17,20,104,3
46,18,557,98,3
47,18,267,103,3
48,18,449,216,3
49,19,409,72,3
50,19,410,24,3
51,20,265,8,3
52,20,266,5,3
53,20,267,4,3
54,21,22,120,3
55,21,23,220,3
56,21,24,206,3
57,22,202,97,3
58,22,462,220,3
59,22,468,221,3
60,23,468,130,3
61,23,590,218,3
62,24,319,210,3
63,24,462,134,3
64,25,26,73,3
65,25,27,134,3
66,25,28,446,3
67,26,92,335,3
68,26,326,155,3
69,26,358,102,3
70,27,152,5,3
71,27,153,5,3
72,27,154,28,3
73,28,475,88,3
74,28,108,148,3
75,29,30,146,3
76,29,31,15,3
77,29,32,54,3
78,29,33,15,3
79,30,457,52,3
80,30,453,115,3
81,31,302,26,3
82,31,33,16,3
83,32,302,12,3
84,32,298,442,3
85,33,453,97,3
86,34,35,81,3
87,34,36,31,3
88,34,37,55,3
89,35,457,43,3
90,35,456,213,3
91,36,824,57,3
92,36,819,57,3
93,37,597,58,3
94,37,583,282,3
95,38,39,133,3
96,38,40,75,3
97,38,41,148,3
98,39,640,85,3
99,39,723,116,3
100,40,744,10,3
101,41,723,94,3
102,41,181,136,3
103,42,43,13,3
104,42,44,14,3
105,42,45,12,3
106,43,323,6,3
107,43,324,5,3
108,43,325,325,3
109,44,402,79,3
110,44,403,6,3
111,44,404,7,3
112,45,394,6,3
113,45,395,4,3
114,45,321,239,3
115,46,47,16,3
116,46,48,8,3
117,46,49,8,3
118,46,50,72,3
119,47,51,15,3
120,47,52,17,3
121,48,331,78,3
122,48,799,14,3
123,49,149,493,3
124,49,796,33,3
125,50,331,8,3
126,50,148,248,3
127,51,53,207,3
128,51,798,6,3
129,51,799,8,3
130,52,796,8,3
131,52,797,6,3
132,52,136,61,3
133,53,54,45,3
134,53,55,9,3
135,54,345,43,3
136,54,177,155,3
137,55,317,33,3
138,55,1105,95,3
139,55,798,207,3
140,56,57,268,3
141,56,58,258,3
142,57,322,40,3
143,57,117,64,3
144,57,168,182,3
145,58,422,210,3
146,58,755,99,3
147,58,754,338,3
148,59,60,15,3
149,59,61,105,3
150,59,62,23,3
151,59,63,20,3
152,60,64,16,3
153,60,65,20,3
154,61,164,120,3
155,61,415,485,3
156,62,65,8,3
157,62,396,197,3
158,63,64,7,3
159,63,84,185,3
160,64,411,7,3
161,64,83,183,3
162,65,158,7,3
163,65,87,193,3
164,66,67,10,3
165,66,68,5,3
166,66,69,126,3
167,66,70,7,3
168,67,146,9,3
169,67,516,6,3
170,68,303,132,3
171,68,516,10,3
172,69,125,10,3
173,69,303,6,3
174,70,149,20,3
175,70,144,131,3
176,71,72,32,3
177,71,73,150,3
178,71,74,362,3
