#number,Node1,Node2,Length,Width
0,39,40,14.0,3
1,39,41,11.0,3
2,39,42,8.0,3
3,39,803,553.0,3
4,40,152,16.0,3
5,40,150,11.0,3
6,40,186,12.0,3
7,41,147,6.0,3
8,41,148,439.0,3
9,41,150,14.0,3
10,42,807,7.0,3
11,42,808,404.0,3
12,43,44,13.0,3
13,43,45,9.0,3
14,43,46,46.0,3
15,44,175,6.0,3
16,44,176,7.0,3
17,44,169,255.0,3
18,45,176,7.0,3
19,45,436,7.0,3
20,45,159,399.0,3
21,46,122,12.0,3
22,46,248,12.0,3
23,47,48,201.0,3
24,47,49,66.0,3
25,47,50,243.0,3
26,48,117,561.0,3
27,48,538,108.0,3
28,48,535,39.0,3
29,49,542,277.0,3
30,49,543,42.0,3
31,50,299,34.0,3
32,50,284,182.0,3
33,51,52,16.0,3
34,51,53,5.0,3
35,51,54,6.0,3
36,51,55,60.0,3
37,52,320,5.0,3
38,52,300,39.0,3
39,53,55,59.0,3
40,53,320,15.0,3
41,54,432,53.0,3
42,56,57,25.0,3
43,56,58,104.0,3
44,56,439,98.0,3
45,56,58,103.0,3
46,56,479,216.0,3
47,57,439,72.0,3
48,57,440,24.0,3
49,58,300,8.0,3
50,58,301,5.0,3
51,59,60,120.0,3
52,59,61,220.0,3
53,59,62,206.0,3
54,60,238,97.0,3
55,60,492,220.0,3
56,60,498,221.0,3
57,61,498,130.0,3
58,61,615,218.0,3
59,62,353,210.0,3
60,62,492,134.0,3
61,63,64,73.0,3
62,63,65,134.0,3
63,63,66,446.0,3
64,64,129,335.0,3
65,64,360,155.0,3
66,64,390,102.0,3
67,65,188,5.0,3
68,65,189,5.0,3
69,65,190,28.0,3
70,66,505,88.0,3
71,66,144,148.0,3
72,67,68,146.0,3
73,67,69,15.0,3
74,67,70,54.0,3
75,67,71,15.0,3
76,68,487,52.0,3
77,68,483,115.0,3
78,69,336,26.0,3
79,69,71,16.0,3
80,70,336,12.0,3
81,70,332,442.0,3
82,71,483,97.0,3
83,72,73,81.0,3
84,72,74,31.0,3
85,72,75,55.0,3
86,73,487,43.0,3
87,73,486,213.0,3
88,74,841,57.0,3
89,74,836,57.0,3
90,75,622,58.0,3
91,75,608,282.0,3
92,76,77,133.0,3
93,76,78,75.0,3
94,76,79,148.0,3
95,77,665,85.0,3
96,77,747,116.0,3
97,78,767,10.0,3
98,79,747,94.0,3
99,79,217,136.0,3
100,80,81,13.0,3
101,80,82,14.0,3
102,80,83,12.0,3
103,81,357,6.0,3
104,81,358,5.0,3
105,81,359,325.0,3
106,82,433,79.0,3
107,82,434,6.0,3
108,82,435,7.0,3
109,83,426,6.0,3
110,83,355,239.0,3
111,84,85,16.0,3
112,84,86,8.0,3
113,84,87,8.0,3
114,84,88,72.0,3
115,85,89,15.0,3
116,85,90,17.0,3
117,86,365,78.0,3
118,86,817,14.0,3
119,87,185,493.0,3
120,87,814,33.0,3
121,88,365,8.0,3
122,88,184,248.0,3
123,89,91,207.0,3
124,89,816,6.0,3
125,89,817,8.0,3
126,90,814,8.0,3
127,90,815,6.0,3
128,90,172,61.0,3
129,91,92,45.0,3
130,91,93,9.0,3
131,92,377,43.0,3
132,92,213,155.0,3
133,93,351,33.0,3
134,93,1107,95.0,3
135,93,816,207.0,3
136,94,95,268.0,3
137,94,96,258.0,3
138,95,356,40.0,3
139,95,153,64.0,3
140,95,204,182.0,3
141,96,452,210.0,3
142,96,777,99.0,3
143,96,776,338.0,3
144,97,98,15.0,3
145,97,99,105.0,3
146,97,100,23.0,3
147,97,101,20.0,3
148,98,102,16.0,3
149,98,103,20.0,3
150,99,200,120.0,3
151,99,445,485.0,3
152,100,103,8.0,3
153,100,427,197.0,3
154,101,102,7.0,3
155,101,121,185.0,3
156,102,441,7.0,3
157,102,121,183.0,3
158,103,194,7.0,3
159,103,124,193.0,3
160,104,105,10.0,3
161,104,106,5.0,3
162,104,107,126.0,3
163,104,108,7.0,3
164,105,182,9.0,3
165,105,546,6.0,3
166,106,337,132.0,3
167,106,546,10.0,3
168,107,161,10.0,3
169,107,337,6.0,3
170,108,185,20.0,3
171,108,180,131.0,3
172,109,110,32.0,3
173,109,111,150.0,3
174,109,112,362.0,3
175,110,415,80.0,3
176,110,389,46.0,3
177,111,113,426.0,3
178,112,113,339.0,3
179,112,114,47.0,3
180,113,561,178.0,3
181,114,115,127.0,3
182,114,116,132.0,3
183,115,401,63.0,3
184,115,116,157.0,3
185,116,537,40.0,3
186,117,118,68.0,3
187,117,119,135.0,3
188,117,120,74.0,3
189,118,119,178.0,3
190,118,537,106.0,3
191,119,534,45.0,3
192,120,534,253.0,3
193,120,533,112.0,3
194,120,281,90.0,3
195,121,122,175.0,3
196,121,524,34.0,3
197,121,425,173.0,3
198,122,424,6.0,3
199,122,425,5.0,3
200,123,124,10.0,3
201,123,125,9.0,3
202,123,126,7.0,3
203,123,127,7.0,3
204,124,427,5.0,3
205,124,428,7.0,3
206,125,442,5.0,3
207,125,443,6.0,3
208,125,193,161.0,3
209,126,130,113.0,3
210,126,427,9.0,3
211,126,442,11.0,3
212,127,428,12.0,3
213,127,443,7.0,3
214,127,518,185.0,3
215,128,129,40.0,3
216,128,130,59.0,3
217,128,131,60.0,3
218,129,132,159.0,3
219,130,196,303.0,3
220,130,131,101.0,3
221,131,645,116.0,3
222,132,133,210.0,3
223,132,134,227.0,3
224,132,135,126.0,3
225,133,136,10.0,3
226,133,139,17.0,3
227,134,360,55.0,3
228,134,1102,75.0,3
229,135,196,297.0,3
230,135,197,527.0,3
231,136,137,12.0,3
232,136,138,96.0,3
233,137,1087,68.0,3
234,137,1088,22.0,3
235,138,162,140.0,3
236,138,163,35.0,3
237,139,142,274.0,3
238,139,444,654.0,3
239,140,141,52.0,3
240,140,142,129.0,3
241,140,928,31.0,3
242,140,141,52.0,3
243,141,702,197.0,3
244,142,927,167.0,3
245,143,144,76.0,3
246,143,145,10.0,3
247,143,146,119.0,3
248,143,429,17.0,3
249,144,510,102.0,3
250,145,430,18.0,3
251,145,615,72.0,3
252,145,146,104.0,3
253,146,611,92.0,3
254,147,782,442.0,3
255,147,187,17.0,3
256,148,782,7.0,3
257,148,784,112.0,3
258,149,150,16.0,3
259,149,151,6.0,3
260,149,152,11.0,3
261,149,1109,130.0,3
262,150,187,12.0,3
263,151,187,18.0,3
264,152,813,8.0,3
265,153,154,74.0,3
266,153,155,139.0,3
267,154,202,31.0,3
268,154,157,190.0,3
269,155,156,25.0,3
270,155,157,52.0,3
271,155,158,152.0,3
272,156,371,19.0,3
273,156,372,97.0,3
274,157,455,35.0,3
275,157,158,116.0,3
276,158,539,39.0,3
277,159,160,6.0,3
278,159,161,243.0,3
279,160,539,42.0,3
280,160,436,401.0,3
281,160,181,247.0,3
282,161,180,5.0,3
283,161,181,6.0,3
284,162,195,116.0,3
285,162,164,174.0,3
286,163,1099,59.0,3
287,163,364,116.0,3
288,164,165,6.0,3
289,164,166,73.0,3
290,165,791,13.0,3
291,165,789,70.0,3
292,165,516,78.0,3
293,166,167,20.0,3
294,166,168,58.0,3
295,167,240,12.0,3
296,167,786,132.0,3
297,167,790,12.0,3
298,168,195,135.0,3
299,168,510,119.0,3
300,169,170,26.0,3
301,169,171,8.0,3
302,170,805,5.0,3
303,170,177,674.0,3
304,171,1015,676.0,3
305,171,176,261.0,3
306,172,173,7.0,3
307,172,174,65.0,3
308,173,1015,264.0,3
309,173,1106,71.0,3
310,173,814,61.0,3
311,174,422,9.0,3
312,174,423,6.0,3
313,175,248,60.0,3
314,175,805,280.0,3
315,177,178,154.0,3
316,177,179,787.0,3
317,178,534,85.0,3
318,178,536,182.0,3
319,179,1014,220.0,3
320,180,176,633.0,3
321,181,337,10.0,3
322,182,183,5.0,3
323,182,184,170.0,3
324,182,185,7.0,3
325,183,546,9.0,3
326,183,421,171.0,3
327,184,421,9.0,3
328,186,810,41.0,3
329,186,811,8.0,3
330,186,807,8.0,3
331,187,341,149.0,3
332,188,793,6.0,3
333,188,192,21.0,3
334,189,792,1244.0,3
335,189,191,37.0,3
336,190,191,10.0,3
337,190,192,7.0,3
338,190,193,165.0,3
339,191,402,63.0,3
340,191,404,147.0,3
341,192,390,48.0,3
342,192,650,180.0,3
343,193,404,15.0,3
344,193,650,12.0,3
345,194,441,37.0,3
346,194,428,188.0,3
347,195,363,16.0,3
348,196,198,307.0,3
349,197,735,347.0,3
350,197,338,70.0,3
351,198,199,115.0,3
352,198,200,205.0,3
353,198,201,92.0,3
354,199,447,34.0,3
355,199,448,98.0,3
356,200,446,106.0,3
357,201,448,111.0,3
358,201,446,125.0,3
359,201,446,278.0,3
360,202,203,54.0,3
361,202,204,47.0,3
362,203,337,40.0,3
363,203,454,45.0,3
364,203,455,166.0,3
365,204,207,100.0,3
366,205,206,60.0,3
367,205,207,90.0,3
