#number,Node1,Node2,Length,Width
438,246,260,44.0,3
439,247,331,72.0,3
440,247,330,37.0,3
441,121,248,280.0,3
442,248,399,77.0,3
443,249,254,36.0,3
444,250,251,262.0,3
445,250,252,53.0,3
446,250,253,55.0,3
447,251,255,319.0,3
448,253,255,11.0,3
449,254,322,53.0,3
450,254,256,57.0,3
451,256,324,21.0,3
452,257,258,43.0,3
453,258,269,142.0,3
454,258,269,30.0,3
455,260,261,21.0,3
456,260,262,40.0,3
457,262,263,62.0,3
458,262,264,99.0,3
459,263,359,36.0,3
460,263,287,74.0,3
461,264,304,7.0,3
462,264,355,20.0,3
463,264,284,34.0,3
464,265,266,13.0,3
465,265,502,67.0,3
466,266,267,24.0,3
467,266,268,119.0,3
468,267,494,17.0,3
469,267,496,21.0,3
470,268,271,22.0,3
471,269,270,12.0,3
472,270,272,103.0,3
473,271,273,93.0,3
474,271,274,80.0,3
475,273,293,10.0,3
476,274,294,101.0,3
477,32,276,92.0,3
478,277,278,6.0,3
479,277,279,169.0,3
480,278,410,76.0,3
481,281,282,15.0,3
482,281,283,26.0,3
483,281,284,73.0,3
484,282,288,51.0,3
485,282,283,44.0,3
486,283,285,36.0,3
487,284,287,74.0,3
488,285,286,206.0,3
489,285,287,65.0,3
490,286,411,77.0,3
491,288,289,13.0,3
492,288,290,29.0,3
493,289,305,17.0,3
494,290,355,49.0,3
495,290,358,45.0,3
496,291,299,64.0,3
497,291,295,100.0,3
498,292,296,15.0,3
499,292,408,18.0,3
500,293,294,78.0,3
501,293,295,40.0,3
502,296,297,41.0,3
503,296,298,150.0,3
504,299,300,111.0,3
505,301,302,82.0,3
506,302,303,184.0,3
507,289,313,35.0,3
508,289,315,27.0,3
509,305,311,26.0,3
510,305,309,30.0,3
511,306,307,16.0,3
512,306,338,54.0,3
513,306,381,17.0,3
514,307,375,13.0,3
515,307,376,55.0,3
516,308,309,25.0,3
517,308,310,21.0,3
518,308,311,29.0,3
519,308,312,23.0,3
520,309,313,21.0,3
521,310,387,26.0,3
522,310,311,42.0,3
523,311,358,45.0,3
524,312,314,46.0,3
525,313,314,22.0,3
526,313,315,45.0,3
527,314,316,28.0,3
528,315,372,58.0,3
529,316,317,9.0,3
530,316,318,8.0,3
531,316,341,9.0,3
532,317,318,8.0,3
533,317,335,36.0,3
534,317,334,87.0,3
535,318,335,62.0,3
536,318,337,82.0,3
537,319,320,43.0,3
538,319,321,89.0,3
539,321,407,33.0,3
540,322,324,28.0,3
541,322,323,37.0,3
542,325,326,29.0,3
543,327,328,104.0,3
544,27,422,25.0,3
545,27,420,23.0,3
546,27,412,30.0,3
547,332,124,31.0,3
548,332,360,107.0,3
549,333,334,23.0,3
550,333,335,28.0,3
551,333,336,18.0,3
552,334,391,23.0,3
553,335,312,22.0,3
554,312,387,21.0,3
555,337,373,13.0,3
556,337,341,61.0,3
557,338,339,16.0,3
558,338,376,14.0,3
559,339,380,13.0,3
560,339,381,47.0,3
561,340,341,13.0,3
562,340,373,58.0,3
563,340,375,16.0,3
564,342,343,44.0,3
565,342,353,56.0,3
566,342,352,177.0,3
567,342,343,45.0,3
568,343,344,182.0,3
569,344,345,13.0,3
570,344,346,9.0,3
571,346,356,34.0,3
572,346,357,112.0,3
573,348,349,13.0,3
574,348,350,17.0,3
575,349,361,60.0,3
576,349,363,88.0,3
577,350,362,33.0,3
578,350,351,46.0,3
579,353,354,22.0,3
580,355,358,27.0,3
581,360,397,83.0,3
582,364,365,66.0,3
583,364,366,78.0,3
584,365,368,17.0,3
585,365,366,45.0,3
586,366,367,43.0,3
587,367,368,135.0,3
588,367,368,67.0,3
589,369,370,39.0,3
590,370,371,31.0,3
591,373,374,15.0,3
592,374,375,56.0,3
593,374,376,13.0,3
594,377,378,22.0,3
595,377,378,55.0,3
596,377,380,9.0,3
597,378,379,14.0,3
598,379,381,21.0,3
