#number,Node1,Node2,Length,Width
0,0,1,45,3
1,0,2,57,3
2,0,3,207,3
3,1,8,121,3
4,1,322,34,3
5,2,164,4,3
6,2,165,8,3
7,3,119,23,3
8,3,120,16,3
9,4,5,8,3
10,4,6,13,3
11,4,238,72,3
12,5,397,88,3
13,5,398,17,3
14,6,104,297,3
15,6,105,44,3
16,6,106,339,3
17,7,8,81,3
18,7,9,94,3
19,7,10,51,3
20,7,11,40,3
21,8,212,56,3
22,8,120,62,3
23,9,18,145,3
24,9,412,95,3
25,10,12,44,3
26,10,13,31,3
27,11,323,7,3
28,11,324,3,3
29,12,20,56,3
30,12,228,74,3
31,13,219,99,3
32,13,222,36,3
33,14,15,6,3
34,14,16,109,3
35,14,17,77,3
36,15,20,42,3
37,15,59,42,3
38,16,268,4,3
39,16,266,54,3
40,17,18,73,3
41,17,20,131,3
42,18,19,166,3
43,19,262,128,3
44,21,22,65,3
45,21,23,67,3
46,21,24,128,3
47,22,394,62,3
48,22,395,202,3
49,23,25,127,3
50,23,530,43,3
51,24,209,31,3
52,24,507,93,3
53,25,26,17,3
54,25,27,72,3
55,25,28,41,3
56,26,29,6,3
57,26,30,45,3
58,27,61,44,3
59,27,30,56,3
60,27,62,84,3
61,28,381,33,3
62,28,505,46,3
63,29,48,72,3
64,29,532,87,3
65,30,257,64,3
66,31,32,83,3
67,31,33,139,3
68,31,34,22,3
69,31,35,41,3
70,32,175,3,3
71,32,151,129,3
72,33,75,14,3
73,33,150,39,3
74,33,151,84,3
75,34,171,27,3
76,34,546,35,3
77,35,186,38,3
78,35,444,23,3
79,36,37,9,3
80,36,38,11,3
81,36,39,78,3
82,37,40,23,3
83,37,41,20,3
84,38,451,79,3
85,38,229,91,3
86,39,452,27,3
87,39,451,56,3
88,40,200,6,3
89,40,452,86,3
90,41,82,216,3
91,41,193,48,3
92,42,43,7,3
93,42,44,168,3
94,42,45,326,3
95,43,451,12,3
96,43,517,200,3
97,43,455,168,3
98,44,461,78,3
99,44,455,8,3
100,45,107,89,3
101,45,108,7,3
102,46,47,50,3
103,46,48,81,3
104,46,49,141,3
105,47,534,28,3
106,47,143,61,3
107,48,497,69,3
108,49,265,92,3
109,49,284,45,3
110,50,51,142,3
111,50,52,204,3
112,50,52,29,3
113,51,109,4,3
114,51,110,79,3
115,51,111,52,3
116,52,53,28,3
117,53,54,25,3
118,53,55,71,3
119,54,297,109,3
120,54,109,114,3
121,55,102,116,3
122,55,297,35,3
123,56,57,58,3
124,56,58,35,3
125,56,59,128,3
126,56,60,49,3
127,57,61,45,3
128,57,318,50,3
129,58,529,28,3
130,58,260,57,3
131,59,266,107,3
132,60,240,59,3
133,60,316,32,3
134,61,256,58,3
135,62,227,92,3
136,62,247,49,3
137,63,64,200,3
138,63,65,38,3
139,63,66,187,3
140,63,67,358,3
141,64,116,28,3
142,64,519,32,3
143,65,76,64,3
144,65,527,74,3
145,66,68,3,3
146,66,69,23,3
147,67,155,98,3
148,67,156,104,3
149,67,148,155,3
150,68,71,23,3
151,68,148,348,3
152,69,525,13,3
153,70,71,9,3
154,70,72,553,3
155,71,423,554,3
156,72,423,7,3
157,72,73,36,3
158,73,74,162,3
159,73,75,14,3
160,74,450,6,3
161,74,462,76,3
162,75,450,163,3
163,75,423,40,3
164,76,77,168,3
165,76,78,42,3
166,76,79,158,3
167,77,163,69,3
168,77,188,131,3
169,77,166,207,3
170,78,153,107,3
171,78,154,158,3
172,79,166,120,3
173,79,156,202,3
174,80,81,79,3
175,80,82,21,3
176,80,83,252,3
177,81,84,236,3
178,81,85,197,3
179,82,502,110,3
180,84,86,200,3
181,84,87,85,3
182,85,121,18,3
183,85,122,81,3
184,86,229,317,3
185,86,108,154,3
186,86,88,165,3
187,87,88,57,3
188,87,89,131,3
189,88,528,13,3
190,89,124,37,3
191,89,91,70,3
192,90,91,39,3
193,90,92,62,3
194,90,93,110,3
195,91,403,26,3
196,92,273,81,3
197,92,270,79,3
198,93,408,16,3
199,93,94,49,3
200,94,95,23,3
201,94,96,10,3
202,95,271,19,3
203,95,313,27,3
204,96,285,18,3
205,96,100,44,3
206,97,98,48,3
207,97,99,38,3
208,97,100,19,3
209,98,315,27,3
210,98,401,25,3
211,99,290,17,3
212,99,127,72,3
213,100,290,36,3
214,101,102,22,3
215,101,103,20,3
216,101,331,34,3
217,102,331,40,3
218,103,126,15,3
219,103,328,60,3
220,104,107,162,3
221,104,389,7,3
222,105,389,308,3
223,106,237,4,3
224,106,358,32,3
225,106,232,24,3
226,107,112,6,3
227,108,112,88,3
228,108,517,128,3
229,109,358,78,3
230,110,358,4,3
231,110,237,30,3
232,111,393,21,3
233,111,295,94,3
234,112,388,146,3
235,112,389,162,3
236,113,114,27,3
237,113,115,68,3
238,114,117,27,3
239,114,319,70,3
240,115,319,28,3
241,116,117,25,3
242,116,118,58,3
243,117,320,75,3
244,119,323,21,3
245,119,411,6,3
246,120,323,53,3
247,121,123,854,3
248,121,122,56,3
249,122,471,345,3
250,123,267,384,3
251,123,244,202,3
252,123,147,132,3
253,125,126,13,3
254,125,127,128,3
255,125,128,24,3
256,126,402,37,3
257,127,401,35,3
258,128,400,33,3
259,128,401,108,3
260,129,130,3,3
261,129,131,82,3
262,129,132,223,3
263,131,140,49,3
264,131,132,113,3
265,132,269,67,3
266,133,134,332,3
267,133,135,24,3
268,133,136,50,3
269,134,363,13,3
270,134,147,225,3
271,135,338,29,3
272,135,345,107,3
273,136,346,39,3
274,136,347,52,3
275,137,138,125,3
276,137,139,100,3
277,137,140,119,3
278,138,293,45,3
279,138,288,113,3
280,139,268,101,3
281,139,287,59,3
282,140,269,127,3
283,141,142,44,3
284,141,143,70,3
285,141,144,140,3
286,141,145,89,3
287,142,351,166,3
288,143,292,108,3
289,144,339,16,3
290,144,503,51,3
291,145,293,98,3
292,145,292,50,3
293,146,147,245,3
294,148,149,96,3
295,149,522,23,3
296,149,522,72,3
297,150,422,37,3
298,150,172,56,3
299,150,423,23,3
300,151,152,48,3
301,152,449,29,3
302,152,468,126,3
303,153,162,112,3
304,153,163,103,3
305,154,518,21,3
306,154,320,55,3
307,155,173,16,3
308,155,446,78,3
309,156,176,86,3
310,156,177,146,3
311,157,158,16,3
312,157,159,62,3
313,157,160,30,3
314,157,161,50,3
315,158,462,6,3
316,158,459,72,3
317,158,450,76,3
318,159,449,11,3
319,159,469,44,3
320,160,456,38,3
321,160,470,111,3
322,161,464,30,3
323,161,178,64,3
324,163,383,61,3
325,163,384,85,3
326,164,368,25,3
327,164,369,17,3
328,165,168,88,3
329,165,169,36,3
330,166,189,48,3
331,167,168,36,3
332,167,169,81,3
333,167,170,135,3
334,168,174,96,3
335,169,170,108,3
336,171,172,89,3
337,171,173,80,3
338,172,491,28,3
339,173,446,61,3
340,173,447,83,3
341,174,224,82,3
342,174,385,218,3
343,175,468,55,3
344,175,484,28,3
345,176,182,52,3
346,176,183,16,3
347,177,209,162,3
348,177,213,89,3
349,177,214,55,3
350,178,179,18,3
351,178,180,26,3
352,178,181,60,3
353,179,485,40,3
354,179,465,26,3
355,180,487,56,3
356,180,470,7,3
357,181,202,24,3
358,181,486,14,3
359,181,487,29,3
360,182,192,11,3
361,182,191,49,3
362,184,185,32,3
363,184,186,31,3
364,184,187,21,3
365,185,190,5,3
366,185,431,19,3
367,186,187,27,3
368,187,424,10,3
369,188,210,14,3
370,188,381,123,3
371,189,209,76,3
372,189,210,256,3
373,190,191,56,3
374,190,192,28,3
375,191,205,21,3
376,192,445,28,3
377,193,198,45,3
378,193,542,63,3
379,194,195,58,3
380,194,196,36,3
381,194,197,26,3
382,195,475,36,3
383,195,200,78,3
384,195,453,97,3
385,196,472,27,3
386,196,476,12,3
387,196,211,28,3
388,197,199,66,3
389,197,211,43,3
390,198,199,19,3
391,198,200,53,3
392,199,208,59,3
393,201,202,47,3
394,201,203,63,3
395,201,204,24,3
396,202,482,18,3
397,203,477,107,3
398,203,471,40,3
399,204,474,13,3
400,204,487,35,3
401,205,206,12,3
402,205,207,37,3
403,206,429,11,3
404,206,213,32,3
405,207,215,23,3
406,207,216,51,3
407,210,382,87,3
408,211,471,61,3
409,211,472,47,3
410,212,217,47,3
411,212,218,56,3
412,212,219,32,3
413,213,428,41,3
414,214,514,70,3
415,214,513,89,3
416,215,544,13,3
417,215,246,126,3
418,217,220,61,3
419,217,221,79,3
420,218,321,32,3
421,218,322,68,3
422,219,222,44,3
423,220,321,8,3
424,220,224,77,3
425,221,226,21,3
426,221,223,23,3
427,221,225,30,3
428,222,228,40,3
429,222,226,111,3
430,223,224,44,3
431,223,225,68,3
432,224,227,141,3
433,225,227,30,3
434,226,239,36,3
435,228,239,109,3
436,229,478,26,3
437,230,231,18,3
438,230,232,55,3
439,230,233,23,3
440,231,234,89,3
441,231,233,25,3
442,232,327,40,3
443,233,359,68,3
444,234,235,95,3
445,234,236,34,3
446,235,250,27,3
447,235,251,44,3
448,236,326,72,3
449,236,325,37,3
450,237,238,280,3
451,238,398,77,3
452,239,240,4,3
453,240,245,36,3
454,241,242,262,3
455,241,243,53,3
456,241,244,55,3
457,242,246,319,3
458,244,246,11,3
459,245,316,53,3
460,245,247,57,3
461,247,318,21,3
462,248,249,43,3
463,249,261,142,3
464,249,261,30,3
465,251,252,21,3
466,251,253,40,3
467,253,254,62,3
468,253,255,99,3
469,254,357,36,3
470,254,280,74,3
471,255,297,7,3
472,255,353,20,3
473,255,277,34,3
474,256,257,3,3
475,256,258,13,3
