,0,1
0,262314443,"{'y': np.float64(3706936.575153342), 'x': np.float64(364963.81646596163), 'street_count': np.int64(3), 'lon': np.float64(133.5463774), 'lat': np.float64(33.4934332)}"
1,4942039788,"{'y': np.float64(3706978.579555512), 'x': np.float64(364946.0525857684), 'street_count': np.int64(3), 'lon': np.float64(133.5461799), 'lat': np.float64(33.4938097)}"
2,1557771561,"{'y': np.float64(3706885.763262843), 'x': np.float64(364990.414956172), 'street_count': np.int64(3), 'lon': np.float64(133.5466713), 'lat': np.float64(33.4929784)}"
3,1431445191,"{'y': np.float64(3707083.05819204), 'x': np.float64(364822.1282562453), 'street_count': np.int64(4), 'lon': np.float64(133.5448305), 'lat': np.float64(33.4947361)}"
4,262314769,"{'y': np.float64(3707190.5666884384), 'x': np.float64(367114.5066137896), 'street_count': np.int64(3), 'highway': 'traffic_signals', 'lon': np.float64(133.5694849), 'lat': np.float64(33.4959928)}"
5,6280046573,"{'y': np.float64(3707195.2671599537), 'x': np.float64(367107.3980736544), 'street_count': np.int64(3), 'highway': 'traffic_signals', 'lon': np.float64(133.5694077), 'lat': np.float64(33.4960343)}"
6,1085589164,"{'y': np.float64(3707183.2665839577), 'x': np.float64(367125.9651012386), 'street_count': np.int64(4), 'highway': 'crossing', 'lon': np.float64(133.5696093), 'lat': np.float64(33.4959284)}"
7,564442872,"{'y': np.float64(3707164.577584144), 'x': np.float64(364866.12590627035), 'street_count': np.int64(4), 'highway': 'traffic_signals', 'lon': np.float64(133.5452917), 'lat': np.float64(33.4954767)}"
8,1557771993,"{'y': np.float64(3707090.4678710387), 'x': np.float64(364898.79900906095), 'street_count': np.int64(4), 'lon': np.float64(133.5456545), 'lat': np.float64(33.4948126)}"
9,6295154885,"{'y': np.float64(3707251.3392077754), 'x': np.float64(364828.8825105096), 'street_count': np.int64(3), 'lon': np.float64(133.5448778), 'lat': np.float64(33.4962543)}"
10,564442874,"{'y': np.float64(3707210.0826922012), 'x': np.float64(364890.5975823238), 'street_count': np.int64(3), 'lon': np.float64(133.5455482), 'lat': np.float64(33.4958901)}"
11,4942039803,"{'y': np.float64(3707130.927029115), 'x': np.float64(364844.1153134843), 'street_count': np.int64(3), 'lon': np.float64(133.5450599), 'lat': np.float64(33.4951705)}"
12,1557772424,"{'y': np.float64(3707253.3119239127), 'x': np.float64(364899.40811308316), 'street_count': np.int64(3), 'lon': np.float64(133.5456365), 'lat': np.float64(33.496281)}"
13,4942039801,"{'y': np.float64(3707201.1764606102), 'x': np.float64(364920.7182040174), 'street_count': np.int64(3), 'lon': np.float64(133.5458737), 'lat': np.float64(33.4958136)}"
14,564442876,"{'y': np.float64(3707356.770343987), 'x': np.float64(364917.1556444174), 'street_count': np.int64(3), 'highway': 'traffic_signals', 'lon': np.float64(133.5458119), 'lat': np.float64(33.4972161)}"
15,4942039732,"{'y': np.float64(3707349.8486140785), 'x': np.float64(364916.4546986226), 'street_count': np.int64(3), 'lon': np.float64(133.5458054), 'lat': np.float64(33.4971536)}"
16,4942039748,"{'y': np.float64(3707463.826461429), 'x': np.float64(364937.7593637183), 'street_count': np.int64(3), 'lon': np.float64(133.5460175), 'lat': np.float64(33.498184)}"
17,564442919,"{'y': np.float64(3707374.485401826), 'x': np.float64(364841.7219474629), 'street_count': np.int64(3), 'lon': np.float64(133.5449974), 'lat': np.float64(33.4973663)}"
18,564442889,"{'y': np.float64(3707384.381415819), 'x': np.float64(364771.8839995079), 'street_count': np.int64(3), 'highway': 'traffic_signals', 'lon': np.float64(133.5442443), 'lat': np.float64(33.4974467)}"
19,4942039837,"{'y': np.float64(3707500.006487726), 'x': np.float64(364655.22224850237), 'street_count': np.int64(3), 'lon': np.float64(133.5429713), 'lat': np.float64(33.4984745)}"
20,4942039733,"{'y': np.float64(3707308.700452714), 'x': np.float64(364907.92434622627), 'street_count': np.int64(3), 'lon': np.float64(133.5457198), 'lat': np.float64(33.4967815)}"
21,564443103,"{'y': np.float64(3707238.0539948824), 'x': np.float64(365486.2216369095), 'street_count': np.int64(3), 'lon': np.float64(133.5519541), 'lat': np.float64(33.4962174)}"
22,6247275225,"{'y': np.float64(3707220.7043204075), 'x': np.float64(365549.34128910437), 'street_count': np.int64(3), 'lon': np.float64(133.552636), 'lat': np.float64(33.4960689)}"
23,10948633207,"{'y': np.float64(3707268.4326449037), 'x': np.float64(365425.681348401), 'street_count': np.int64(3), 'lon': np.float64(133.551298), 'lat': np.float64(33.4964837)}"
24,9935063210,"{'y': np.float64(3707154.523469492), 'x': np.float64(365583.04972156725), 'street_count': np.int64(3), 'lon': np.float64(133.5530087), 'lat': np.float64(33.4954764)}"
25,564443107,"{'y': np.float64(3707318.2106232354), 'x': np.float64(365308.6391068492), 'street_count': np.int64(4), 'highway': 'traffic_signals', 'lon': np.float64(133.5500309), 'lat': np.float64(33.4969178)}"
26,564443109,"{'y': np.float64(3707335.9288997473), 'x': np.float64(365306.5636659513), 'street_count': np.int64(3), 'lon': np.float64(133.5500059), 'lat': np.float64(33.4970773)}"
27,564465077,"{'y': np.float64(3707320.9880221123), 'x': np.float64(365236.0713823448), 'street_count': np.int64(4), 'lon': np.float64(133.5492495), 'lat': np.float64(33.4969337)}"
28,9935063203,"{'y': np.float64(3707277.154817085), 'x': np.float64(365314.9137001034), 'street_count': np.int64(3), 'lon': np.float64(133.5501046), 'lat': np.float64(33.4965484)}"
29,10948633262,"{'y': np.float64(3707341.909976706), 'x': np.float64(365305.5322015833), 'street_count': np.int64(3), 'lon': np.float64(133.5499939), 'lat': np.float64(33.4971311)}"
30,10699710734,"{'y': np.float64(3707363.720403394), 'x': np.float64(365272.5164681149), 'street_count': np.int64(3), 'lon': np.float64(133.5496353), 'lat': np.float64(33.4973236)}"
31,564443111,"{'y': np.float64(3706901.614197132), 'x': np.float64(366052.7027750866), 'street_count': np.int64(4), 'highway': 'traffic_signals', 'lon': np.float64(133.5581009), 'lat': np.float64(33.4932549)}"
32,1557771678,"{'y': np.float64(3706918.7930046236), 'x': np.float64(366134.9821499493), 'street_count': np.int64(3), 'lon': np.float64(133.5589838), 'lat': np.float64(33.4934201)}"
33,1557771371,"{'y': np.float64(3706766.920449691), 'x': np.float64(366087.09054952126), 'street_count': np.int64(4), 'lon': np.float64(133.5584911), 'lat': np.float64(33.4920447)}"
34,12710040482,"{'y': np.float64(3706898.2493316857), 'x': np.float64(366030.67065819656), 'street_count': np.int64(3), 'lon': np.float64(133.5578643), 'lat': np.float64(33.4932218)}"
35,6303772273,"{'y': np.float64(3706927.4548558337), 'x': np.float64(366019.9722416879), 'street_count': np.int64(3), 'lon': np.float64(133.5577448), 'lat': np.float64(33.4934838)}"
36,564443121,"{'y': np.float64(3706991.917707544), 'x': np.float64(366549.83980864554), 'street_count': np.int64(3), 'lon': np.float64(133.5634375), 'lat': np.float64(33.4941313)}"
37,564443122,"{'y': np.float64(3706993.4603102067), 'x': np.float64(366540.9500400565), 'street_count': np.int64(3), 'highway': 'traffic_signals', 'lon': np.float64(133.5633416), 'lat': np.float64(33.4941441)}"
38,6303772566,"{'y': np.float64(3706987.8563409285), 'x': np.float64(366560.42305402365), 'street_count': np.int64(3), 'lon': np.float64(133.563552), 'lat': np.float64(33.494096)}"
39,6303772572,"{'y': np.float64(3706914.4341614675), 'x': np.float64(366560.6986400956), 'street_count': np.int64(3), 'lon': np.float64(133.5635659), 'lat': np.float64(33.493434)}"
40,6303772573,"{'y': np.float64(3706990.358987973), 'x': np.float64(366517.42598784884), 'street_count': np.int64(3), 'lon': np.float64(133.5630889), 'lat': np.float64(33.4941132)}"
